DOC: 0 -->  3:0.63 2:0.32 4:0.02
DOC: 1 -->  3:0.6 4:0.31 2:0.03
DOC: 2 -->  4:0.58 3:0.35 2:0.06
DOC: 3 -->  1:0.63 3:0.18 0:0.12
DOC: 4 -->  4:0.96 3:0.01 2:0.01
DOC: 5 -->  1:0.42 2:0.35 3:0.23
DOC: 6 -->  2:0.46 4:0.32 1:0.21
DOC: 7 -->  1:0.62 2:0.22 3:0.16
DOC: 8 -->  3:0.38 2:0.23 4:0.19
DOC: 9 -->  4:0.95 3:0.01 2:0.01
DOC: 10 -->  1:0.39 4:0.33 3:0.26
DOC: 11 -->  4:0.75 3:0.22 2:0.01
DOC: 12 -->  0:0.73 4:0.07 3:0.07
DOC: 13 -->  3:0.84 4:0.04 2:0.04
DOC: 14 -->  4:0.54 0:0.43 3:0.01
DOC: 15 -->  0:0.91 4:0.02 3:0.02
DOC: 16 -->  2:0.73 4:0.07 3:0.07
DOC: 17 -->  4:0.2 3:0.2 2:0.2
DOC: 18 -->  3:0.84 4:0.04 2:0.04
DOC: 19 -->  4:0.49 3:0.41 0:0.09
DOC: 20 -->  4:0.93 3:0.02 2:0.02
DOC: 21 -->  2:0.91 4:0.02 3:0.02
DOC: 22 -->  1:0.49 2:0.33 4:0.17
DOC: 23 -->  4:0.68 3:0.2 1:0.1
DOC: 24 -->  0:0.75 1:0.2 4:0.02
DOC: 25 -->  1:0.68 0:0.2 2:0.1
DOC: 26 -->  2:0.6 1:0.31 4:0.03
DOC: 27 -->  1:0.96 4:0.01 3:0.01
DOC: 28 -->  4:0.95 3:0.01 2:0.01
DOC: 29 -->  0:0.93 4:0.02 3:0.02
DOC: 30 -->  2:0.91 4:0.02 3:0.02
DOC: 31 -->  1:0.77 3:0.1 2:0.1
DOC: 32 -->  2:0.89 4:0.03 3:0.03
DOC: 33 -->  0:0.91 4:0.02 3:0.02
DOC: 34 -->  4:0.95 3:0.01 2:0.01
DOC: 35 -->  0:0.93 4:0.02 3:0.02
DOC: 36 -->  0:0.93 4:0.02 3:0.02
DOC: 37 -->  4:0.64 0:0.33 3:0.01
DOC: 38 -->  2:0.69 0:0.24 4:0.02
DOC: 39 -->  1:0.97 4:0.01 3:0.01
DOC: 40 -->  1:0.97 4:0.01 3:0.01
DOC: 41 -->  3:0.69 2:0.24 4:0.02
DOC: 42 -->  0:0.84 4:0.04 3:0.04
DOC: 43 -->  2:0.73 4:0.07 3:0.07
DOC: 44 -->  3:0.75 2:0.2 4:0.02
DOC: 45 -->  4:0.87 0:0.1 3:0.01
DOC: 46 -->  2:0.44 0:0.44 4:0.04
DOC: 47 -->  2:0.73 4:0.07 3:0.07
DOC: 48 -->  4:0.2 3:0.2 2:0.2
DOC: 49 -->  1:0.45 2:0.38 0:0.16
DOC: 50 -->  4:0.57 2:0.25 3:0.17
DOC: 51 -->  0:0.89 4:0.03 3:0.03
DOC: 52 -->  1:0.81 2:0.15 4:0.01
DOC: 53 -->  1:0.54 4:0.33 2:0.12
DOC: 54 -->  0:0.56 2:0.38 4:0.02
DOC: 55 -->  4:0.95 3:0.01 2:0.01
DOC: 56 -->  1:0.95 4:0.01 3:0.01
DOC: 57 -->  4:0.96 3:0.01 2:0.01
DOC: 58 -->  4:0.2 3:0.2 2:0.2
DOC: 59 -->  3:0.44 0:0.44 4:0.04
DOC: 60 -->  3:0.89 4:0.03 2:0.03
DOC: 61 -->  3:0.84 4:0.04 2:0.04
DOC: 62 -->  3:0.94 4:0.02 2:0.02
DOC: 63 -->  4:0.2 3:0.2 2:0.2
DOC: 64 -->  2:0.69 0:0.24 4:0.02
DOC: 65 -->  0:0.84 4:0.04 3:0.04
DOC: 66 -->  4:0.95 3:0.01 2:0.01
DOC: 67 -->  2:0.69 1:0.24 4:0.02
DOC: 68 -->  1:0.54 2:0.43 4:0.01
DOC: 69 -->  0:0.89 4:0.03 3:0.03
DOC: 70 -->  2:0.47 0:0.47 4:0.02
DOC: 71 -->  1:0.95 4:0.01 3:0.01
DOC: 72 -->  1:0.58 0:0.39 4:0.01
DOC: 73 -->  2:0.44 0:0.44 4:0.04
DOC: 74 -->  2:0.84 4:0.04 3:0.04
DOC: 75 -->  4:0.65 2:0.25 1:0.09
DOC: 76 -->  3:0.44 2:0.44 4:0.04
DOC: 77 -->  4:0.73 3:0.07 2:0.07
DOC: 78 -->  4:0.24 3:0.24 2:0.24
DOC: 79 -->  4:0.58 3:0.3 0:0.1
DOC: 80 -->  0:0.6 3:0.31 4:0.03
DOC: 81 -->  4:0.57 0:0.41 3:0.01
DOC: 82 -->  4:0.93 3:0.02 2:0.02
DOC: 83 -->  2:0.91 4:0.02 3:0.02
DOC: 84 -->  4:0.68 3:0.28 2:0.01
DOC: 85 -->  4:0.73 3:0.07 2:0.07
DOC: 86 -->  3:0.91 4:0.02 2:0.02
DOC: 87 -->  2:0.84 4:0.04 3:0.04
DOC: 88 -->  2:0.73 4:0.07 3:0.07
DOC: 89 -->  3:0.89 4:0.03 2:0.03
DOC: 90 -->  4:0.95 3:0.01 2:0.01
DOC: 91 -->  2:0.47 0:0.47 4:0.02
DOC: 92 -->  2:0.93 4:0.02 3:0.02
DOC: 93 -->  1:0.73 0:0.25 4:0.01
DOC: 94 -->  4:0.2 3:0.2 2:0.2
DOC: 95 -->  1:0.6 0:0.36 4:0.01
DOC: 96 -->  3:0.84 4:0.04 2:0.04
DOC: 97 -->  4:0.2 3:0.2 2:0.2
DOC: 98 -->  3:0.89 4:0.03 2:0.03
DOC: 99 -->  4:0.73 3:0.07 2:0.07
