DOC: 0 -->  0:0.78 4:0.17 3:0.02
DOC: 1 -->  4:0.84 3:0.04 2:0.04
DOC: 2 -->  3:0.36 0:0.36 1:0.21
DOC: 3 -->  3:0.36 2:0.36 0:0.27
DOC: 4 -->  0:0.61 1:0.37 4:0.01
DOC: 5 -->  2:0.45 1:0.28 0:0.26
DOC: 6 -->  1:0.44 2:0.31 3:0.25
DOC: 7 -->  0:0.93 4:0.02 3:0.02
DOC: 8 -->  0:0.4 4:0.31 3:0.28
DOC: 9 -->  2:0.52 3:0.33 0:0.14
DOC: 10 -->  0:0.46 3:0.23 2:0.18
DOC: 11 -->  4:0.95 3:0.01 2:0.01
DOC: 12 -->  4:0.91 3:0.02 2:0.02
DOC: 13 -->  4:0.93 3:0.02 2:0.02
DOC: 14 -->  4:0.6 3:0.31 2:0.03
DOC: 15 -->  3:0.78 0:0.17 4:0.02
DOC: 16 -->  3:0.47 0:0.47 4:0.02
DOC: 17 -->  3:0.89 4:0.03 2:0.03
DOC: 18 -->  0:0.58 1:0.39 4:0.01
DOC: 19 -->  3:0.75 0:0.2 4:0.02
DOC: 20 -->  3:0.84 4:0.04 2:0.04
DOC: 21 -->  3:0.63 2:0.32 4:0.02
DOC: 22 -->  1:0.89 4:0.03 3:0.03
DOC: 23 -->  3:0.89 4:0.03 2:0.03
DOC: 24 -->  4:0.68 2:0.28 3:0.01
DOC: 25 -->  2:0.38 1:0.38 3:0.2
DOC: 26 -->  4:0.89 3:0.03 2:0.03
DOC: 27 -->  4:0.32 3:0.32 1:0.32
DOC: 28 -->  4:0.91 3:0.02 2:0.02
DOC: 29 -->  2:0.47 4:0.24 1:0.24
DOC: 30 -->  1:0.89 4:0.03 3:0.03
DOC: 31 -->  4:0.93 3:0.02 2:0.02
DOC: 32 -->  3:0.44 0:0.44 4:0.04
DOC: 33 -->  3:0.89 4:0.03 2:0.03
DOC: 34 -->  0:0.93 4:0.02 3:0.02
DOC: 35 -->  4:0.93 3:0.02 2:0.02
DOC: 36 -->  3:0.48 4:0.32 2:0.17
DOC: 37 -->  2:0.73 4:0.07 3:0.07
DOC: 38 -->  4:0.47 1:0.24 0:0.24
DOC: 39 -->  2:0.97 4:0.01 3:0.01
DOC: 40 -->  2:0.97 4:0.01 3:0.01
DOC: 41 -->  3:0.6 1:0.31 4:0.03
DOC: 42 -->  4:0.95 3:0.01 2:0.01
DOC: 43 -->  1:0.84 4:0.04 3:0.04
DOC: 44 -->  4:0.93 3:0.02 2:0.02
DOC: 45 -->  1:0.78 3:0.17 4:0.02
DOC: 46 -->  4:0.84 3:0.04 2:0.04
DOC: 47 -->  4:0.56 1:0.38 3:0.02
DOC: 48 -->  4:0.56 3:0.2 0:0.2
DOC: 49 -->  2:0.4 3:0.27 1:0.27
DOC: 50 -->  3:0.62 2:0.36 4:0.01
DOC: 51 -->  4:0.68 3:0.15 2:0.15
DOC: 52 -->  0:0.78 3:0.17 4:0.02
DOC: 53 -->  3:0.58 4:0.12 1:0.12
DOC: 54 -->  4:0.69 1:0.24 3:0.02
DOC: 55 -->  3:0.93 4:0.02 2:0.02
DOC: 56 -->  3:0.75 4:0.2 2:0.02
DOC: 57 -->  1:0.6 3:0.31 4:0.03
DOC: 58 -->  4:0.6 0:0.31 3:0.03
DOC: 59 -->  4:0.44 3:0.44 2:0.04
DOC: 60 -->  1:0.81 2:0.15 4:0.01
DOC: 61 -->  3:0.93 4:0.02 2:0.02
DOC: 62 -->  1:0.89 4:0.03 3:0.03
DOC: 63 -->  4:0.84 3:0.04 2:0.04
DOC: 64 -->  4:0.69 3:0.24 2:0.02
DOC: 65 -->  4:0.84 3:0.04 2:0.04
DOC: 66 -->  1:0.68 4:0.2 0:0.1
DOC: 67 -->  3:0.84 4:0.04 2:0.04
DOC: 68 -->  4:0.6 3:0.31 2:0.03
DOC: 69 -->  4:0.48 1:0.48 3:0.02
DOC: 70 -->  3:0.6 0:0.31 4:0.03
DOC: 71 -->  2:0.41 3:0.28 0:0.28
DOC: 72 -->  4:0.64 3:0.33 2:0.01
DOC: 73 -->  0:0.75 4:0.2 3:0.02
DOC: 74 -->  3:0.6 4:0.31 2:0.03
DOC: 75 -->  1:0.53 3:0.18 0:0.18
DOC: 76 -->  1:0.73 4:0.07 3:0.07
DOC: 77 -->  4:0.91 3:0.02 2:0.02
DOC: 78 -->  4:0.6 1:0.31 3:0.03
DOC: 79 -->  3:0.44 1:0.44 4:0.04
DOC: 80 -->  2:0.89 4:0.03 3:0.03
DOC: 81 -->  4:0.64 3:0.33 2:0.01
DOC: 82 -->  1:0.73 4:0.07 3:0.07
DOC: 83 -->  1:0.89 4:0.03 3:0.03
DOC: 84 -->  4:0.89 3:0.03 2:0.03
DOC: 85 -->  1:0.55 2:0.28 4:0.15
DOC: 86 -->  3:0.73 4:0.07 2:0.07
DOC: 87 -->  2:0.47 1:0.47 4:0.02
DOC: 88 -->  3:0.73 4:0.07 2:0.07
DOC: 89 -->  4:0.47 0:0.47 3:0.02
DOC: 90 -->  4:0.53 3:0.3 2:0.16
DOC: 91 -->  4:0.44 3:0.44 2:0.04
DOC: 92 -->  4:0.89 3:0.03 2:0.03
DOC: 93 -->  4:0.41 3:0.33 2:0.25
DOC: 94 -->  3:0.6 1:0.31 4:0.03
DOC: 95 -->  3:0.6 4:0.31 2:0.03
DOC: 96 -->  3:0.69 4:0.24 2:0.02
DOC: 97 -->  1:0.48 4:0.32 3:0.17
DOC: 98 -->  4:0.6 0:0.31 3:0.03
DOC: 99 -->  0:0.63 1:0.32 4:0.02
